"Date","Camaron","TSM","Cla"
2003-01-01,9789,21.69274167,0.546022841
2003-02-01,22239,20.80145412,0.47822196
2003-03-01,17054,19.26932181,1.547696518
2003-04-01,0,19.2220033,1.513028351
2003-05-01,0,19.41948463,2.679010189
2003-06-01,0,19.5818601,3.079562652
2003-07-01,0,23.17298585,2.291483964
2003-08-01,0,25.60154679,1.171007651
2003-09-01,80797,26.90862684,1.090398182
2003-10-01,25870,26.61795062,0.754990195
2003-11-01,13720,24.57612496,0.608370582
2003-12-01,56561,23.06332665,0.7688921
2004-01-01,67293,20.94644003,0.707643131
2004-02-01,41634,19.46415879,1.316350967
2004-03-01,24239,18.91617749,2.425529519
2004-04-01,0,18.58221582,3.163120832
2004-05-01,0,19.58117513,2.815703298
2004-06-01,0,20.32710243,3.555539881
2004-07-01,0,24.06289271,1.955028454
2004-08-01,72375,26.34968886,1.298251347
2004-09-01,200272,27.62763997,0.929341592
2004-10-01,52804,24.87281429,0.675135091
2004-11-01,31332,23.53134961,0.534873524
2004-12-01,29915,22.56359022,0.533311342
2005-01-01,57552,21.22883653,0.684087486
2005-02-01,74462,20.23047936,0.628167113
2005-03-01,61840,19.08405666,1.768844281
2005-04-01,0,19.05117027,1.689572044
2005-05-01,0,18.7302216,2.188747766
2005-06-01,0,19.53451875,1.803821681
2005-07-01,0,22.49859532,2.552759367
2005-08-01,0,25.09945808,0.86943169
2005-09-01,365680,27.07131766,0.563430833
2005-10-01,90981,24.19892359,0.608354094
2005-11-01,57862,23.23717053,0.621579995
2005-12-01,42670,22.12452828,0.576044196
2006-01-01,52853,20.23975099,0.684087486
2006-02-01,33024,19.06186389,0.628167113
2006-03-01,57311,17.77747075,1.768844281
2006-04-01,0,17.47478429,1.689572044
2006-05-01,0,16.96766606,2.188747766
2006-06-01,0,18.87601213,1.803821681
2006-07-01,0,23.36366406,2.552759367
2006-08-01,260,26.10876107,0.86943169
2006-09-01,196530,27.95827504,0.563430833
2006-10-01,101122,27.75242449,0.608354094
2006-11-01,95170,26.69297808,0.621579995
2006-12-01,170118,24.60047269,0.576044196
2007-01-01,139697,22.05502952,0.6211
2007-02-01,112327,20.68631354,1.1514
2007-03-01,128501,19.91000391,2.3569
2007-04-01,0,18.91290571,3.3949
2007-05-01,0,17.81892065,3.1584
2007-06-01,0,19.25284017,4.4009
2007-07-01,0,22.50242371,2.5918
2007-08-01,0,24.15597732,1.1752
2007-09-01,119934,25.14869726,0.8155
2007-10-01,79395,25.2020783,0.631
2007-11-01,22847,23.92296901,0.5309
2007-12-01,58084,21.56780266,0.4639
2008-01-01,57077,20.22616543,0.6954
2008-02-01,35558,18.70584363,0.6161
2008-03-01,13796,18.39665816,1.9378
2008-04-01,0,18.0695621,1.8333
2008-05-01,0,18.27816993,2.6043
2008-06-01,0,18.97166288,2.0769
2008-07-01,0,24.13134428,2.8267
2008-08-01,0,26.70024945,0.9717
2008-09-01,90331,27.96365198,0.6002
2008-10-01,42269,28.27104865,0.6545
2008-11-01,83602,25.92086223,0.6388
2008-12-01,130455,23.27169842,0.587
2009-01-01,110735,21.58049712,0.8371
2009-02-01,57335,21.11202068,1.2467
2009-03-01,43564,20.49384627,2.1747
2009-04-01,0,19.0810205,2.3978
2009-05-01,0,18.71836177,3.7345
2009-06-01,0,18.54988095,4.7232
2009-07-01,0,23.2368476,3.2629
2009-08-01,0,27.36249388,1.4541
2009-09-01,83166,28.3268392,0.8107
2009-10-01,70595,27.30607546,0.5334
2009-11-01,29672,25.04140476,0.5867
2009-12-01,49425,23.40388224,0.567
2010-01-01,106088,22.85391476,0.7916
2010-02-01,85597,21.35873893,1.1428
2010-03-01,74426,20.4833245,1.2983
2010-04-01,0,20.21686456,2.6139
2010-05-01,0,18.89683914,2.4688
2010-06-01,0,19.06351625,2.943
2010-07-01,0,20.32963068,2.1056
2010-08-01,0,23.69299402,1.5439
2010-09-01,141043,25.04263557,0.8283
2010-10-01,75276,23.32047171,0.7911
2010-11-01,67269,22.10027766,0.6728
2010-12-01,51642,21.07564263,0.899
2011-01-01,66159,18.86764965,0.9573
2011-02-01,54352,18.16044964,2.1572
2011-03-01,50592,17.99747029,2.1864
2011-04-01,0,17.71153031,3.6837
2011-05-01,0,18.05689037,4.3722
2011-06-01,0,18.73675541,5.6625
2011-07-01,0,22.79139166,5.6625
2011-08-01,0,25.17876701,3.9885
2011-09-01,186635,25.96671704,1.0533
2011-10-01,102182,25.41456458,0.986
2011-11-01,130396,24.32416656,0.844
2011-12-01,151191,21.96963331,0.9532
2012-01-01,90707,20.50288569,0.9245
2012-02-01,70637,18.96981919,0.8441
2012-03-01,40918,18.65984565,1.0992
2012-04-01,0,18.08678375,2.4942
2012-05-01,0,18.17501877,4.0562
2012-06-01,0,19.08338674,3.1699
2012-07-01,0,23.58819338,2.196
2012-08-01,2362,26.98578225,1.0185
2012-09-01,87797,28.46003286,0.9813
2012-10-01,73844,27.1893777,0.4929
2012-11-01,131238,25.69893791,0.5306
2012-12-01,94259,23.68359887,0.4496
2013-01-01,97838,20.96324853,0.3628
2013-02-01,48601,19.51463793,0.5041
2013-03-01,40297,19.02755693,1.0778
2013-04-01,0,18.94191317,0.5817
2013-05-01,0,18.75783864,1.7692
2013-06-01,0,19.84418682,1.708
2013-07-01,0,22.97287394,1.5833
2013-08-01,0,24.99233526,1.2762
2013-09-01,42537.5,26.16035112,0.7372
2013-10-01,60320.5,26.11316852,0.7202
2013-11-01,29339,25.31434619,0.6492
2013-12-01,28262,25.31434619,0.7366
